image,ILS_um
Tile_001-143-000_0.tif,0.3076171
Tile_001-144-000_0.tif,0.32958975
Tile_001-145-000_0.tif,0.32958975
Tile_001-146-000_0.tif,0.32958975
Tile_001-147-000_0.tif,0.32958975
Tile_001-148-000_0.tif,0.3076171
Tile_001-149-000_0.tif,0.3076171
Tile_001-150-000_0.tif,0.3076171
Tile_001-151-000_0.tif,0.3076171
Tile_001-152-000_0.tif,0.32958975
Tile_001-153-000_0.tif,0.32958975
Tile_001-154-000_0.tif,0.32958975
Tile_001-155-000_0.tif,0.32958975
Tile_001-156-000_0.tif,0.32958975
Tile_001-157-000_0.tif,0.32958975
Tile_001-158-000_0.tif,0.32958975
Tile_001-159-000_0.tif,0.32958975
Tile_001-160-000_0.tif,0.32958975
Tile_001-161-000_0.tif,0.32958975
Tile_001-162-000_0.tif,0.32958975
Tile_001-163-000_0.tif,0.32958975
Tile_001-164-000_0.tif,0.32958975
Tile_001-165-000_0.tif,0.3076171
Tile_001-166-000_0.tif,0.3076171
Tile_001-167-000_0.tif,0.3076171
Tile_001-168-000_0.tif,0.3076171
Tile_001-169-000_0.tif,0.3076171
Tile_001-170-000_0.tif,0.3076171
Tile_001-171-000_0.tif,0.3076171
Tile_001-172-000_0.tif,0.3076171
Tile_001-173-000_0.tif,0.28564445
Tile_001-174-000_0.tif,0.3076171
Tile_001-175-000_0.tif,0.3076171
Tile_001-176-000_0.tif,0.3076171
Tile_001-177-000_0.tif,0.3076171
Tile_001-178-000_0.tif,0.3076171
Tile_001-179-000_0.tif,0.3076171
Tile_001-180-000_0.tif,0.3076171
Tile_001-181-000_0.tif,0.3076171
Tile_001-182-000_0.tif,0.3076171
Tile_001-183-000_0.tif,0.32958975
Tile_001-184-000_0.tif,0.32958975
Tile_001-185-000_0.tif,0.32958975
Tile_001-186-000_0.tif,0.32958975
Tile_001-187-000_0.tif,0.32958975
Tile_001-188-000_0.tif,0.32958975
Tile_001-189-000_0.tif,0.32958975
Tile_001-190-000_0.tif,0.32958975
Tile_001-191-000_0.tif,0.32958975
Tile_001-192-000_0.tif,0.32958975
Tile_001-193-000_0.tif,0.32958975
Tile_001-194-000_0.tif,0.3076171
Tile_001-195-000_0.tif,0.3076171
Tile_001-196-000_0.tif,0.3076171
Tile_001-197-000_0.tif,0.3076171
Tile_001-198-000_0.tif,0.28564445
Tile_001-199-000_0.tif,0.3076171
Tile_001-200-000_0.tif,0.3076171
Tile_001-201-000_0.tif,0.3076171
Tile_001-202-000_0.tif,0.28564445
Tile_001-203-000_0.tif,0.28564445
Tile_001-204-000_0.tif,0.28564445
Tile_001-205-000_0.tif,0.28564445
Tile_001-206-000_0.tif,0.28564445
Tile_001-207-000_0.tif,0.28564445
Tile_001-208-000_0.tif,0.28564445
Tile_001-209-000_0.tif,0.28564445
Tile_001-210-000_0.tif,0.28564445
Tile_001-211-000_0.tif,0.28564445
Tile_001-212-000_0.tif,0.28564445
Tile_001-213-000_0.tif,0.28564445
Tile_001-214-000_0.tif,0.28564445
Tile_001-215-000_0.tif,0.28564445
